Titulo,Artista,Oyentes,Generos
Creep,Radiohead,3055579,"['alternative', 'rock', 'alternative rock']"
Karma Police,Radiohead,2582594,"['alternative', 'alternative rock', 'rock']"
Last Nite,The Strokes,1748206,"['indie rock', 'rock', 'indie']"
The Less I Know the Better,Tame Impala,1972323,"['psychedelic', 'indie', 'psychedelic pop']"
Take Me Out,Franz Ferdinand,2489569,"['indie', 'rock', 'indie rock']"
Losing My Religion,R.E.M.,1927619,"['rock', '90s', 'alternative']"
Reptilia,The Strokes,2028054,"['indie rock', 'rock', 'indie']"
Boys Don't Cry,The Cure,1811262,"['80s', 'new wave', 'post-punk']"
Estrechez De Corazón,Los Prisioneros,86790,"['Rock Latino', 'Rock en Espanol', 'rock']"
Tren Al Sur,Los Prisioneros,158339,"['Rock en Espanol', 'rock chileno', '80s']"
Do I Wanna Know?,Arctic Monkeys,2264610,"['indie rock', 'indie', 'alternative']"
High and Dry,Radiohead,1924246,"['alternative', 'rock', 'alternative rock']"
No Surprises,Radiohead,2518234,"['alternative', 'alternative rock', 'radiohead']"
Seven Nation Army,The White Stripes,2442863,"['rock', 'alternative rock', 'alternative']"
Take on Me,a-ha,2286330,"['80s', 'pop', 'new wave']"
Feel Good Inc.,Gorillaz,2819047,"['alternative', 'electronic', 'Hip-Hop']"
Friday I'm in Love,The Cure,1845998,"['80s', 'new wave', 'alternative']"
Smells Like Teen Spirit,Nirvana,3343527,"['Grunge', 'rock', 'Nirvana']"
Come as You Are,Nirvana,2962687,"['Grunge', 'rock', 'Nirvana']"
Just Like Heaven,The Cure,1774079,"['80s', 'new wave', 'alternative']"
Under the Bridge,Red Hot Chili Peppers,2305201,"['rock', 'alternative', 'Red Hot Chili Peppers']"
Girls & Boys,Blur,1062417,"['britpop', '90s', 'british']"
One More Time,Daft Punk,1815439,"['electronic', 'dance', 'House']"
Mr. Brightside,The Killers,3213466,"['rock', 'indie', 'indie rock']"
Everybody Wants to Rule the World,Tears for Fears,2089707,"['80s', 'pop', 'new wave']"
Un Amor Violento,Los Tres,65087,"['rock chileno', 'Rock Latino', 'Un Amor Violento']"
Love Will Tear Us Apart,Joy Division,1408107,"['post-punk', 'new wave', '80s']"
Coffee & TV,Blur,924913,"['britpop', 'indie', 'rock']"
Close to Me,The Cure,1136496,"['80s', 'new wave', 'post-punk']"
Everlong,Foo Fighters,2467754,"['rock', 'alternative rock', 'alternative']"
Amiga Mía,Los Prisioneros,43029,"['rock chileno', 'chile', 'latino']"
Paranoid Android,Radiohead,1992902,"['alternative', 'alternative rock', 'rock']"
Fluorescent Adolescent,Arctic Monkeys,1997694,"['indie rock', 'indie', 'british']"
Bitter Sweet Symphony,The Verve,1548917,"['britpop', 'rock', 'alternative']"
Enjoy the Silence,Depeche Mode,1599599,"['80s', 'electronic', 'new wave']"
Chop Suey!,System of a Down,2490518,"['alternative metal', 'metal', 'rock']"
Can't Feel My Face,The Weeknd,1423384,"['rnb', 'love at first listen', 'r&b']"
Someday,The Strokes,1879554,"['indie rock', 'indie', 'rock']"
Black Hole Sun,Soundgarden,1759750,"['Grunge', 'rock', '90s']"
Californication,Red Hot Chili Peppers,2468737,"['rock', 'alternative rock', 'alternative']"
Yellow,Coldplay,2792019,"['rock', 'Coldplay', 'alternative']"
Africa,Toto,1747721,"['80s', 'classic rock', 'rock']"
Pumped Up Kicks,Foster the People,2331985,"['indie', 'indie pop', 'catchy']"
Fake Plastic Trees,Radiohead,1739457,"['alternative', 'alternative rock', 'rock']"
Otherside,Red Hot Chili Peppers,1994913,"['rock', 'alternative rock', 'alternative']"
Clint Eastwood,Gorillaz,2042511,"['alternative', 'electronic', 'Hip-Hop']"
Bohemian Rhapsody - Remastered 2011,Queen,1203931,"['hard rock', 'Progressive rock', 'rock']"
Even Flow,Pearl Jam,1469132,"['Grunge', 'rock', 'alternative rock']"
Zombie,The Cranberries,2129658,"['rock', 'alternative', '90s']"
Sex on Fire,Kings of Leon,2277331,"['rock', 'indie rock', 'alternative']"
